timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,orient_x,orient_y,orient_z,orient_w
0.00,0.01,-0.02,9.80,0.001,0.002,0.000,0.000,0.000,0.000,1.000
0.10,0.02,-0.01,9.79,0.002,0.001,0.001,0.000,0.000,0.005,0.999
0.20,0.03,0.00,9.81,0.003,0.002,0.001,0.000,0.000,0.010,0.999
0.30,0.05,0.01,9.78,0.004,0.003,0.002,0.000,0.000,0.015,0.999
0.40,0.04,0.02,9.80,0.003,0.002,0.002,0.000,0.000,0.020,0.998
0.50,0.06,0.03,9.82,0.005,0.004,0.003,0.000,0.000,0.025,0.998
0.60,0.05,0.02,9.79,0.004,0.003,0.003,0.000,0.000,0.030,0.998
0.70,0.07,0.01,9.80,0.006,0.005,0.004,0.000,0.000,0.035,0.997
0.80,0.06,0.00,9.81,0.005,0.004,0.004,0.000,0.000,0.040,0.997
0.90,0.08,-0.01,9.80,0.007,0.006,0.005,0.000,0.000,0.045,0.996
1.00,0.09,-0.02,9.79,0.008,0.007,0.006,0.000,0.000,0.050,0.996
